index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
0,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE AJONJOLI"
1,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE ALGODON"
2,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE CACAHUATE"
3,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE CANOLA"
4,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE CANOLA"
5,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE CARTAMO"
6,1.0,892.0,0.0,99.06,0.0,"ACEITE, DE COCO"
7,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE GIRASOL"
8,1.0,900.0,0.0,100.0,0.0,"ACEITE, DE MAIZ"
9,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE OLIVA"
10,1.0,884.0,0.0,100.0,0.0,"ACEITE, DE SOYA"
11,1.0,843.75,0.0,93.75,0.0,ACEITE EN AEROSOL (PAM)
12,1.0,853.9,0.0,95.76,0.0,"ACEITE, VEGETAL (PROMEDIO)"
13,1.0,887.86,0.0,100.0,0.0,"ACEITE, VEGETAL PROMEDIO (CANOLA, MAIZ, CARTAMO, GIRASOL, SOYA Y OLIVA, PONDERADO DE ENSANUT 2016)"
14,1.0,887.32,0.0,99.99,0.0,"ACEITE, VEGETAL PROMEDIO (CARTAMO, MAIZ, GIRASOL, CANOLA, SOYA, OLIVA, ALGODON, AJONJOLI Y CACAHUATE, PONDERADO DE ENSANUT 2012)"
15,1.0,337.83,10.36,32.75,0.41,"ADEREZO, TODOS TIPOS"
16,1.0,15.0,3.7,0.0,0.1,"ADEREZO, AGRIDULCE (P/ENSALADAS)"
17,1.0,542.0,3.3,57.85,2.17,"ADEREZO, CESAR (P/ENSALADAS)"
18,1.0,464.0,23.33,40.83,0.87,"ADEREZO, DE MOSTAZA DULCE (P/ENSALADAS)"
19,1.0,484.0,4.77,51.1,1.37,"ADEREZO, DE QUESO AZUL O ROQUEFORT (P/ENSALADAS)"
20,1.0,319.22,8.33,31.67,0.22,ADEREZO ITALIANO (P/ENSALADAS)
21,1.0,379.0,14.64,35.06,1.09,"ADEREZO, MIL ISLAS (P/ENSALADAS)"
22,1.0,430.0,5.9,44.54,1.32,"ADEREZO, RANCH (P/ENSALADAS)"
