index,index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
1,142,3.0,357.0,89.25,0.0,0.0,ALGODON DE AZUCAR
2,143,3.0,341.0,85.13,0.0,0.0,"ALMIBAR DE FRUTAS, INDUSTRIALIZADO"
3,144,3.0,125.1,23.36,1.89,3.43,"ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
4,145,3.0,360.0,87.0,0.0,0.0,ASPARTAME (CANDEREL-CLÁSICO)
5,146,3.0,0.0,0.0,0.0,0.0,AZUCAR Y ESTEVIA (SPLENDA NATURALS)
6,147,3.0,380.0,98.09,0.0,0.12,"AZUCAR, MASCABADO"
7,148,3.0,380.0,98.09,0.0,0.12,"AZUCAR, MORENA"
8,149,3.0,382.33,98.72,0.0,0.08,"AZUCAR, PROMEDIO"
9,150,3.0,387.0,99.98,0.0,0.0,"AZUCAR, REFINADA"
10,151,3.0,470.55,50.05,27.49,6.77,"BOCADILLOS DE GARBANZO DULCE, PREPARACION ESTANDARIZADA"
11,152,3.0,212.98,38.74,4.26,6.11,"BODOQUE DULCE, PREPARACION ESTANDARIZADA"
12,153,3.0,318.0,81.3,0.2,1.8,BOMBON
13,154,3.0,412.62,81.82,7.71,6.56,CAJETA
14,155,3.0,105.28,26.33,0.04,0.34,"CALABAZA EN DULCE, PREPARACION ESTANDARIZADA"
15,156,3.0,98.37,24.4,0.02,0.7,"CAMOTE CON AZUCAR, PREPARACION ESTANDARIZADA"
16,157,3.0,223.04,34.42,8.37,3.13,"CAPIROTADA, PREPARACION ESTANDARIZADA"
17,158,3.0,100.0,20.0,0.0,0.0,CHAMOY
18,159,3.0,160.0,40.0,0.0,0.0,CHILE CON AZUCAR (TIPO MIGUELITO)
19,160,3.0,371.5,86.2,2.0,3.15,"CHOCOLATE EN POLVO ENRIQUECIDO (NESQUIK, CALCTOSE)"
20,161,3.0,385.0,79.1,5.8,4.0,CHOCOLATE EN POLVO SIN ENRIQUECER (ABUELITA EN POLVO)
21,162,3.0,268.59,61.11,1.32,3.08,CHOCOLATE LíQUIDO (ESTILO HERSHEYS)
22,163,3.0,598.0,45.9,42.63,7.79,"CHOCOLATE, AMARGO"
23,164,3.0,539.0,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
24,165,3.0,539.0,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
25,166,3.0,427.17,80.64,10.11,3.7,"CHOCOLATE CON AZUCAR (ABUELITA, IBARRA, ETC)"
26,167,3.0,515.83,54.56,29.4,7.68,"CHOCOLATE, CON LECHE (CARLOS V, VAQUITA, ETC)"
27,168,3.0,480.0,76.0,16.0,4.0,"CHOCOLATE CON MENTA (CUBIERTA O RELLENO, TIPO CHOCORETAS)"
28,169,3.0,531.59,50.83,36.28,9.7,"CHOCOLATE, RELLENO DE ALMENDRA, AVELLANA O CACAHUATE (TIPO FERRERO)"
29,170,3.0,472.08,64.3,20.72,7.1,"CHOCOLATE, RELLENO DE CARAMELO Y NUEZ (SNICKERS, MILKY WAY)"
